treatment_name,liquid_available,odt_available,first_author,doi,commercial_affiliation,publication_date,journal,study_type,duration,sample_size,gender_ratio,age_range,dose_range,primary_outcome_area,primary_outcome_measures,primary_results,secondary_outcome_area,secondary_outcome_measures,secondary_results,side_effects,safety_rating,dropout_rate,race_ethnicity,notes,sequence_generation_bias,allocation_concealment_bias,outcome_assessor_blinding_bias,clinician_blinding_bias,attrition_bias,reporting_bias,bias_notes
Resveratrol + risperidone,yes both,Yes (risperidone),"Hendouei, Fatemeh",10.1111/jcpt.13076,No conflicts of interest,2020,Journal of Clinical Pharmacy and Therapeutics,Randomized Double-blind Placebo Controlled ,10 weeks,62,50 M: 12 F,mean (resveratrol): 7.8 y (SD:2.1); mean (placebo): 8.1 y (SD: 1.9),"risperidone: and resveratrol: 250 mg BID, or plus placebo",Irritability,ABC irritability,No time x treatment differences in resveratrol and placebo groups. ,"Hyperactivity/non-compliance, lethargy/social withdrawal, stereotypy, and inappropriate speech",ABC-C (all subscales),"Significant time x treatment effect on hyperactivity/non-compliance for the resveratrol group compared to placebo. No time x treatment differences in ABC lethargy/social withdrawal, stereotypic behaviour, and imappropriate speech subscales.","No differences in rates or severity of AEs between groups.Restlessness, constipation, diarrhoea (resveratrol), increased appetite (placebo)",No serious AEs,n=0,Not reported,,Low risk - Randomized computer generated codes assigned to each patient.,"Low risk - Assignments in confidential sealed envelopes until study endpoint. Placebo and resveratrol were identical in shape, size, colour, and taste.",Low risk - All outcome assessors were blinded.,"Low risk - Clinicians, patients, and families all blinded.",Low risk - All assessment scores reported and all adverse effects reported in statistics table.,"Low risk - All outcomes reported, included significant and insignificant.",Overall low risk
Riluzole,Yes,No,"Wink, Logan K.",,No conflicts of interest. ,"Aprill 11, 2018",Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled   - Crossover,12 weeks ,8,7 M:1 F,13.1-18.45 y; mean: 16.02 y,200 mg/d,Irritability,ABC-Irritability,No significant treatment effect on irritability.,,,,Well tolerated.,Generally safe. No serious Aes,n=1 (worsening aggressive bx),5 white; 1 African-American; 1 hispanic,,,,,,,,
Riluzole + Risperidone,Yes,Yes (risperidone),"Ghaleiha, Ali",,No conflicts of interest or commercial funding.,"July 3, 2013",Pediatric Drugs,Randomized Double-blind Placebo Controlled ,10 weeks,49,33 M: 7 F,5-12 y; mean: 7.6-8.4 y,Risperidone- 2 or 3 mg/d (both based on body weight) + Riluzole- 50 or 100 mg/d; or + placebo,Irritability,ABC-C Irritability score,There was a significantly greater improvement in ABC-C irritability scores in the riluzole tx group (p=0.03). ,"Lethargy/social withdrawal, stereotypy, and hyperactivity/noncompliance",Other ABC-C subscales and CGI-I scores,"The riluzole group showed greater improvement on ABC-C lethargy/social withdrawal (p=0.02), stereotypic behavior (p=0.03), and hyperactivity/non-compliance (p=0.005) scales. The riluzole pts also showed more clinical improvement on CGI-I. No improvement on the inappropriate speech scale. ",Generally well tolerated. The riluzole tx group had more frequent increases in appetite and weight gain. The frequency of other side effects were the same in both tx groups. Common AEs included morning drowsiness and increased salivation. ,"Generally safe. However, riluzole added to risperidone can increase chances of increased bodyweight and appetite in pts.",n=9 (5 riluzole),Not reported. No significant differences between tx group baseline characteristics.,"""...Significance was reached on the irritability and hyperactivity/noncompliance subscales scores by the middle of the trial, suggesting an early impact of riluzole on behavioral disturbances. This finding is congruent with the formerly evident concept that pharmacological treatments are more efficient in ameliorating comorbid symptoms than in ameliorating core deficits in patients with autism"". ",,,,,,,
Risperidone,Yes,yes,"Aman, Michael",10.1089/cap.2007.0133,"Affiliations with Bristol-Meyers Squibb Co, Johnson and Johnson, Forest Research Institute, Neuropharm, Supernus, Novartis, Organon, Janssen, and McNeil.",2008,Journal of Child and Adolescent Psychopharmacology,Randomized Double-blind Placebo Controlled ,8 weeks,38,9 F: 29 M,5-18 y,0.5-3.5 mg/d,Cognition,Sustained attention; hand-eye coordination; verbal learning; and spatial memory. Cancellation Task and Verbal Learning Task scores. ,"There were no declines in attention, hand-eye coordination, or short term verbal memory. Significant improvement in the Cancellation Task and Verbal Learning Task scores in the treated group. ",,None,N/A,None Reported,None reported,,81.57% White; 5.26% Black; 7.89% Asian/Pacific Islander; 5.26% Hispanic,"Affiliations with Janssen, who manufactures risperidone and is also the company who assigned the drug order.","Unclear Risk - The study does not report how the randomization was carried out, or even that the sequence was randomized. ",Unclear risk - method of allocation not reported,"Unclear risk - ""Matched placebo and risperidone were provided by the manufacturer (Janssen Pharmaceuticals) in tablet form."" Tablet form, color, or taste was not reported. Flexible dosing, concealment for differences in dosage not described. ",,Low risk - Data for all primary outcome measures were reported in a table with the baseline scores. ,Low risk,Conflicts of interest include Janssen (manufacturer of risperidone) and Johnson & Johnson.
Risperidone,Yes,yes,"Kent, Justine",10.1007/s10803-012-1723-5,"Janssen, Bristol-Myers Squibb, Pfizer, Purdue Pharma, Forest",December 2012,Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled ,,96,,5-17 y,"low dose: 0.125�mg/d [20 to <45�kg], 0.175�mg/d [>45�kg]; or high-dose: 1.25�mg/day [20 to <45�kg], 1.75�mg/day [>45�kg]) or placebo",Irritability,ABC irritability subscale,High dose risperidone treatment group had significant improvement in scores. Low dose and placebo had no difference in baseline to endpoint scores.,Severity and repetitive/stereotypic behaviors,CGI severity; YBOCS,"CGI and YBOCS scores improved significantly in the high dose risperidone group, no improvement in the low dose or placebo groups. ","Increased appetite, somnolence, and sedation in the high dose risperidone group. ",,,,,,,,,,,
Risperidone ,Yes,yes,"McCracken, James ",,No conflicts of interest. ,"August 1, 2002",The New England Journal of Medicine,Randomized Double-blind Placebo Controlled ,8 weeks ,101,82 M: 19 F,5-17 y; Mean: 8.8 y,0.5-3.5 mg/d; Mean: 1.8 mg/d,Irritability,Abberant Behavior Checklist- Irritability subscale (ABC-I),Treatment with risperidone resulted in a higher rate of reduction in the irritability subscore than placebo. ,Global severity,Clinical Global Impressions-Improvement (CGI-I Score); VABS,The rate of positive response was higher in the risperidone group than the placebo. ,Well tolerated. Mild to moderate AEs. Common side effects included weight gain. ,"One severe headache. However, 'the short period of this trial limits inferences about adverse effects such as tardive dyskinesia'. ",6% Risperidone; 35% placebo ,Not reported. , ,High risk - randomization method not reported,Unclear risk - method of allocation concealment not reported,"Unclear risk - Study does not state outcome assessors were blinded, only states that clinicians and participants were blinded",Low risk - Clinicians and participants were blinded to allocation,Unclear risk - All measures baseline scores were reported. CGI and VABS endpoing scores not reported in results table. ,"Unclear risk - Endpoint scores for ABC irritability were the only reported in the table, though baseline scores for CGI, VABS, and ABC were reported. No endpoint data on VABS to know if there was worsening of scores or insignificant changes. ",
Risperidone + Buspirone,Yes (risperidone) No (buspirone),Yes (risperidone) No (buspirone),"Ghanizadeh, Ahmad",,,January 2015,Pediatric Neurology,Randomized Double-blind Placebo Controlled ,8 weeks ,40,,,"Buspirone: 10 mg/d for pts under 40 kg, and 20 mg/d for pts 40 kgo; Risperidone: 2 mg/d for pts under 40 kg, and 3 mg/d for pts 40 kgo",Irritability,ABC-C score,Irritability scores decreased for both treatment groups. More pts had decreased irritability scores in the buspirone group. ,,None,N/a,"Increased appetite, drowsiness, and fatigue in buspirone group. ",No serious AEs. Generally safe. ,n=6,,"""Buspirone may be considered for children with SIBs who have concomitant anxiety."" ",,,,,,,
Risperidone + NAC,Yes,Yes,"Ghanizadeh, Ahmad",,No conflicts of interest. ,"July 25, 2013",BioMed Central Psychiatry,Randomized Double-blind Placebo Controlled ,8 weeks,40,25 M: 15 F,3.5-16 y; mean: 7.9-8.8 y,"NAC: 1200 mg/d (In 2 divided doses) + risperidone: 0.5-3 mg/d (m: 0.76), or risperidone (m: 0.92) + placebo. ",Irritability,ABC- irritability subscale,The group treated with NAC had significant reductions in ABC irritability scores compared to placebo. ,Other core symptoms of ASD. ,"Other ABC-C subscales - Hyperactivity and noncompliance, Lethargy and social withdrawal, stereotypic behavior, and inappropriate speece",There were no differences between groups in changes in secondary outcome measures. ,"AEs were mild in severity and medication was well tolerated. The NAC treatment group experienced greater rates of daytime drowsiness, fatigue, constipation, and nervousness. ","One patient withdrew from the trial due to severe sedation. Otherwise, the AEs were mild. ",n=9; One patient in the NAC group withdrew due to AE.,Baseline demographics not reported. ,Risperidone was flexibly dosed based on efficacy and weight. ,Low risk - allocation based on a random number generator. ,"Low risk - ""NAC and placebo tablets were administered in the form of effervescent... The shape, size, taste, and color of NAC and placebo were identical."" ",,"Low risk - Patients, parents, and assessor were blinded to the treatment allocation. ",Low risk - All assessment scores reported for both groups. ,Low risk - Insignificant results reported. ,This study used a convenience sample of outpatients recruited from the Child and Adolescent Psychiatry Clinics associated with Shiraz University of Medical Sciences. 
Risperidone + NAC,Yes,yes,"Nikoo, Mohammadali",,No conflicts of interest. ,January 2015,Clinical Neuropharmacology,Randomized Double-blind Placebo Controlled ,10 weeks ,50,,4-12 y,"NAC: 600-900 mg/d (3 divided doses) + risperidone: 1-2 mg/d, or + placebo",Irritability,ABC-I subscale,The NAC treatment group experienced greater reduction in irritability scores than the placebo group. ,,,,,,n=10,Baseline characteristics were not significantly different in the participants.,,,,,,,,
Risperidone + Topiramate ,Yes (risperidone) No (topiramate),Yes (risperidone) No (topiramate),"Rezaei, Vala",10.1016/j.pnpbp.2010.07.005,,July 2010,Progress in Neuro-Psychopharmacology and Biological Psychiatry,Randomized Double-blind Placebo Controlled ,8 weeks ,40,27 M: 13 F,4-12 y ,Risperidone: 2 mg/d for pts under 40 kg and 3 mg/d for pt 40 kgo; Topirimate: 100 mg/d for pts under 30kg and 200 mg/d for pt 30 kgo,,ABC-C ,"The topiramate & risperidone treatment group had greater reductions in the irritability, hyperactivity/noncompliance, and stereotypy subscales. No significant group differences between placebo and topiramate in the lethargy/social withdrawal and inappropriate speech subscales.",,,,Somnolence and decreased appetite. ,,,,,Low risk,Low risk,Low risk,Low risk,Low risk,Low risk,
Risperidone v. Haloperidol,Yes (risperidone) No (Haloperidol),Yes (risperidone) No (Haloperidol),"Miral, Suha",,,"December 13, 2007",European Child & Adolescent Psychiatry,Randomized Double-blind Placebo Controlled  ,12 weeks ,30,,8-18 y,0.01-0.08 mg/kg/d,"Impulsivity, language skills, social relations.","ABC, PDD Scale scoress, Prolactine levels, RF-RLRS","""Risperidone was found to be more effective than haloperidol in treatment of behavioral symptoms, impulsivity, language skills, and impaired social relations�"" Risperidone: significant reduction in ABC and PDD scale scores, greater levels of prolactin, RF-RLRS decreased more in risperidone group. Haloperidol: greater increase in ALT",,,,Well tolerated,Generally safe,,,,,,,,,,
Sertraline,Yes,No,"Potter, Laura ",10.3389/fpsyt.2019.00810,No conflicts of interest. ,"November 6, 2019",Frontiers in psychiatry,Randomized Double-blind Placebo Controlled  ,6 months,58,46 M: 12 F,2-6 y,2.5 mg/d for participants 4yo; 5.0 mg/d for participants 4yo ,Language,"MSEL expressive language raw score, and age equivalent combined score",No significant group differences for primary outcomes. ,,"MSEL subset raw and age equivalent scores in visual reception, fine motor, and receptive language. CGI-I at EOT. PLS-5 auditory comprehension and expressive communication scores. PVET. VABS-II, ABC-C, PAS, SRS, and SPM-P",No group differences in any secondary outcomes. ,"Well tolerated with no group difference in AEs. Common side effects included upper respitory infection, diarrhea, and hyperactivity. ","One serious AE, dehydration secondary to viral infection led to hospitalization of one sertraline pt. ","n=13 (8 sertraline, 5 placebo)",7 Black; 11 Asian; 3 Other/unknown; 37 White,"""The trial drew subjects mainly from the northern California area, out of convenience. Thus, the study sample may not be representative of the greater population of children with ASD.""",Low risk - The UC Davis Investiagational Drug Services independently carried out randomization to sertraline or placebo.,"Low risk - ""Placebo formulated as a clear, colorless solution, and contained menthl to match both the appearance and smell of liquid sertraline.""","Placebo formulated as a clear, colorless solution, and contained menthl to match both the appearance and smell of liquid sertraline.",,,,
Sulforaphane ,,,"Singh, Kanwaljit",,The Johns Hopkins University has applied to patent this. Not a commercial product. ,"October 28, 2014",PNAS,Randomized Double-blind Placebo Controlled  ,27 weeks total (4 wk washout),44,100% M,13-27 y; Mean: 17 y,50-150 umol,Social behaviors. ,"Aberrant Behavior Checklist (ABC), Social Reponsiveness Scale (SRS), and Clinical Global Impression Improvement Scale (CGI-I)",Substantial improvements in ABC and SRS scores in the sulforaphane treatment group. ,,N/A,N/A,Well tolerated with limited side effects. ,"""Favorable safety profile"" and ""recognized low toxicity""",n=3,39 White; 2 Black; 1 Hispanic; 2 Asian,"Limitations: the study only tested males who were primarily caucasian. ""�responses to sulforaphane in this study appeared over several weeks. This finding suggests that sulforaphane may cause increases in gene transcription in multiple underperforming cell-signaling pathways.""",,,,,,,
Tetrahydrobiopterin (BH4),,,"Klaiman, Cheryl",,Funded by Biomarin Pharmaceuticals,"November 5, 2009",Journal of Child and Adolescent Psychopharmacology,Randomized Double-blind Placebo Controlled ,16 weeks,46,38 M: 8 F,"3-7 y, Mean: 12 y",20 mg/kg/d,,Clinical Global Impressions- Improvent and Severity Scales (CGI-I and CGI-S),No differences in the CGI-I or CGI-S scores between the BH4 treatment group and the placebo group. ,"Social and language skills,  hyperactivity, movements. ","Preschool Language Scale (PLS-4), Social Responsiveness Scale (SLS), Aberrant Behavior Checklist (ABC), and Vineland Adaptive Behavior Scales (Vineland)","Significant improvements in social awareness, autism mannerisms, hyperactivity, and inappropriate speech in the BH4 treated group. ","Minimal and similar AEs in both groups. Common side effects included irritability, difficulty sleeping, changes in bowel habits, repetitive behavior, hyperactivity, and transient viral rash. ",No AEs in 39% of participants. One unanticipated serious adverse event in the placebo group. A participant developed new-onset seizures on the last day of the study. ,"n=4 (1 placebo, 3 BH4)",21 White; 14 Asian-Pacific Islander; 3 African American; 1 Hispanic; 7 Other,,,,,,,,
Topiramate,No,no,Rezaei,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TDCS and motor training,n/a,n/a,"Mahmoodifar, Elham",,No conflicts of interest. ,2020,,RCT,,18,,"6-14 y (mean: 10.17, SD: 2.75)",1.5 mA anodal tDCS over the left MI for 20 minutes before 10 motor training sessions,Balance,Movement Assessment Battery for Children-2 (MABC-2),The experiment group preformed better on the balance test of the MABC-2. ,,,,,,,,,,,,,,,
Transcranial direct current stimulation (tDCS),,,"Qui, Jiujun",10.1155/2021/6627507,No conflict of interest,June 2021,Neural Plasticity,RCT,3 weeks,40,30 M: 10 F,2-6 y,tDCS over the left dorsal lateral prefrontal cortex (DLPFC) 5x/week,,"CARS, ABC, RBS-R",CARS scores reducted significantly after real tDCS.,Sleep condition,CSHQ,tDCS treatment significantly reduced CSHQ scores and the general impression item in CARS.,Well tolerated,Generally safe,,,,,,,,,,
Transcranial magnetic stimulation (rTMS) with language therapy,n/a,n/a,"Darwish, Mohamed",,No conflicts of interest. ,June 2021,The Egyptian Journal of Otalaryngology,RCT,4 weeks,30,20 M: 10 F,3-10 y (mean: 5-6 y),"Once per week over the left frontal gyrus: low frequency of 1.0 Hz and 70% of the motor threshold, total 1800 pulses per day session with 20 trains with 90 pulses each ",Language process,CARS,Significant improvement in CARS in rTMS group. ,Language process,"Audiological evaluation (using pure tone audiometry and confirmatory evoked response audiometry); Language evaluation, using Arabic language test (assessment of eye contact, response to examiner and obey simple order, attention evaluation, and passive and active language assessment)","Significant improvement in eye contact, and response to examiner in rTMS group. Significant improvement in active expressive language in rTMS group. No between-group difference in passive vocabulary.",Rates and types of AEs were not reported,No safety data reported,None reported,Not reported,,,,,,High risk - No side effect data reported,High risk - Not all outcome data reported.,
Trofinetide,,,"Berry-Kravis, Elizabeth",,,May 2020,Pediatric Neurology,Randomized Double-blind Placebo Controlled ,,72,100% male,,30 or 70 mg/kg BID trofinetide or placebo,,,,,,,,,,,,,,,,,,
Valproate ,Yes,No,"Hellings, Jessica",,,,Journal of Child and Adolescent Psychopharmacology,Randomized Double-blind Placebo Controlled ,8 weeks,30,20 M: 10 F,6-20 y; Mean: 11.2 y,,Irritability,ABC-C irritability subscale,No treatment difference. ,,CGI-Improvement and OAS,No treatment difference. ,Increased appetite and skin rash. ,,,27 White; 2 Black; 1 Hispanic ,,,,,,,,
Vitamin D and Omega-3 Fatty Acids,,,"Mazahery, Hajar",,No conflicts of interest. ,"January 3, 2019",Journal of Autism & Developmental Disorders,Randomized Double-blind Placebo Controlled  ,1 year ,117,100 M: 17 F,2.5-8 y; Mean= 5.2y (SD: 1.4),2000 IU Vitamin D3; 722mg Omega 3- docosahexaenoic acid; both; or placebo ,Social responsiveness and sensory processing.,Social Responsiveness Scale (SRS) and Sensory Processing Measures (SPM),"""Omega-3 LCPUFA with and without vitamin D may improve some core symptoms of ASD."" OM conjunct VIDOM showed greater scores than other groups.Trends for greater improvements; Vit D3: SRS-social communicative functioning, SPM-taste/smell; Omega 3: SRS-Total, SPM-balance/motion. ",,none ,n/a,Well tolerated with minimal side effects. ,"6 allergic reactions: rash, facial pimple, and red ear. ",n=34,57 NZ European; 15 Maori; 13 Pacific Islander; 13 Asian; 18 Others,,,,,,,,
Venlafaxine + clonazepam and/or zuclopenthixol,yes: clonazepam and zuclopenthixol,yes: clonazepam,"Carminati, Giuliana",10.1016/j.pnpbp.2015.09.002,,September 2015,Progress in Neuropsychopharmacology & Biological Psychiatry,RCT,8 weeks,13,,,18.75 mg/d venlafaxine,Irritability and hyperactivity/noncompliance,"ABC, BPI",,Global improvement,,,,,,,,,,,,,,
Vitamin D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vasopressin (intranasal),n/a,n/a,"Parker, Karen",10.1126/scitranslmed.aau7356.,"Janssen Pharmaceuticals, Syneos Health, Saniona, Vista Point Capital, Katana Pharmaceuticals, Anatomics, Ginex Inc., Trigemina Inc. ",May 2019,Science Translational Medicine,RCT,4 weeks,30,25 M: 25 F,6-12 y (mean: 9.14-9.86 y),6-9.5 y: max: 12 IU BID; 9.6-12.9 y: 16 IU BID,Social abilities,"SRS-2, SCI, RRB",The AVP treatment group showed greater improvement in social abilities as shown by scores on SRS-2 and CGI-I scores. SRS-2 scores showed greater improvement in the participants with higher pretreatment AVP concentrations. ,"Social cognition improvement, anxiety, and ability to perceive others' intentions or emotions","CGI-S, CGI-I, RBS-R, SCAS, RMET, FERT, NEPSY assessment","AVP treatment reduced anxiety symptoms. Treatment effect was larger in participants with the highest pretreatment AVP concentrations. RBS-R and RRB subscale of SRS-2 scores did not improve significantly overall, but scores did improve in participants with the highest pretreatment AVP concentrations. AVP treatment also enhanced theory of mind abilities and increased facial emotion recognition abilities (FERT and RMET scores). ",Well tolerated with minimal side effects,Generally safe,n=0,"19 white, 11 ""other""",,high risk - randomization was performed by an unblinded investigator using a machine-generated treatment schedule. ,Low risk - 25 mL of AVP and placebo placed in identical bottles and indistinguishable to the research team,Low risk - Outcome assessors were blinded,Low risk - Participants and clinicians were blinded. ,Low risk - All outcome data reported in detail,Low risk - All outcome data reported,
Propentofylline + risperidone,,,"Behmanesh, Helen",DOI:�10.1097/WNF.0000000000000368,,November 2019,Clinical Neuropharmacology,RCT,10 weeks,48,,,,Irritability,ABC-C irritability,Significant time by treatment interaction on ABC-C irritability scores.,ASD severity and behavioral disruptions,ABC-C and CARS,Greater improvements in CARS scores with propentofylline treatment. No difference in treatment effect on all other ABC-C subscales. ,,,,,,,,,,,,
Prednisolone + risperidone,yes,yes,"Malekfarhad, Malek",https://journals.lww.com/clinicalneuropharm/Abstract/2020/03000/Prednisolone_as_Adjunctive_Treatment_to.2.aspx,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pregnenolone + risperidone,,,"Ayatollahi, Arghavan",https://journals.lww.com/clinicalneuropharm/Abstract/2020/09000/Does_Pregnenolone_Adjunct_to_Risperidone.3.aspx,,2020,Clinical Neuropharmacology,RCT,,64,,,,Irritability,ABC-C irritability,Greater improvement in ABC-C irritability scores in the treatment group. ,,ABC-C other subscales,Greater improvement in stereotypy and hyperactivity subscales of the ABC-C in the treatment group. No changes in lethargy and inappropriate speech scores. ,No difference in frequency of side effects between groups,No difference in severity of side effects between treatment groups,"n=5 (2 pregnenolone, 3 placebo)",,,,,,,,,
